Fecha,Portafolio_Especulativo,SPY_Benchmark
2024-05-10,11532.776856073484,11014.060721464088
2024-05-13,11511.657475192216,11015.540992277585
2024-05-14,11547.62256248851,11066.0816671956
2024-05-15,11742.485048683522,11203.112451073734
2024-05-16,11704.95830137149,11180.062519834975
2024-05-17,11695.549403049758,11196.134031524387
2024-05-20,11799.393544449567,11209.033534327727
2024-05-21,11796.236157897052,11236.524278006984
2024-05-22,11719.82111233049,11204.169787369092
2024-05-23,11761.88592679155,11122.33195810854
2024-05-24,11899.894007846804,11195.922564265315
2024-05-28,12020.179991715864,11203.746852850947
2024-05-29,11885.34243257919,11125.292499735535
2024-05-30,11855.912168596797,11051.490426319688
2024-05-31,11921.466875733193,11152.148841637576
2024-06-03,11908.52283558525,11161.241933777637
2024-06-04,11917.1268215325,11173.718502062839
2024-06-05,12191.065319709935,11306.519940759548
2024-06-06,12138.781823715644,11306.308473500476
2024-06-07,12182.653456328291,11292.56310166085
2024-06-10,12152.664009970451,11327.455199407596
2024-06-11,12077.53720583926,11354.734475827781
2024-06-12,12233.36499612095,11447.991537078178
2024-06-13,12318.904799141941,11471.041468316938
2024-06-14,12315.916861860844,11478.019887866287
2024-06-17,12358.70269267914,11569.373743785043
2024-06-18,12488.525188438649,11598.76769279594
2024-06-20,12463.433174221535,11567.259071194332
2024-06-21,12347.487927889724,11514.603723685605
2024-06-24,12212.388790149726,11477.174018830003
2024-06-25,12330.21270805958,11521.370675975882
2024-06-26,12256.571112971418,11535.750449592722
2024-06-27,12237.686622236924,11553.936633872847
2024-06-28,12270.28040316717,11508.47117317254
2024-07-01,12199.748721730222,11532.155506188514
2024-07-02,12255.14711189257,11609.763990267642
2024-07-03,12404.198794853828,11661.573468740085
2024-07-05,12385.058607969015,11728.820057124723
2024-07-08,12525.174428678032,11742.35396170528
2024-07-09,12523.609345283487,11753.773193695126
2024-07-10,12752.710688730971,11870.080186184283
2024-07-11,12696.982230041242,11767.730032793825
2024-07-12,12799.5242370902,11841.955040727813
2024-07-15,12875.200495708325,11874.520998624776
2024-07-16,13006.05436000006,11944.939595895485
2024-07-17,12619.061450291138,11777.4575267111
2024-07-18,12683.325796358575,11686.949539828627
2024-07-19,12484.93244201083,11609.341055749499
2024-07-22,12763.720968147292,11729.031524383794
2024-07-23,12720.165240591792,11710.6338728446
2024-07-24,12295.330371449056,11445.242462710252
2024-07-25,12140.832584345333,11385.608695652174
2024-07-26,12274.272893971394,11513.123452872107
2024-07-29,12249.770015501415,11519.890405162383
2024-07-30,12000.72017136159,11461.525441658734
2024-07-31,12410.371858087125,11647.828096900455
2024-08-01,12113.342761041427,11482.883634824924
2024-08-02,11870.185715002657,11269.090235903946
2024-08-05,11539.575684299361,10940.893049825454
2024-08-06,11668.401589129793,11041.762932402413
2024-08-07,11473.827003375423,10967.960858986566
2024-08-08,11756.755281873922,11221.510102612929
2024-08-09,11764.201863879507,11270.993441235589
2024-08-12,11834.058768545563,11276.91452448958
2024-08-13,12149.207659719183,11462.371310695018
2024-08-14,12264.163565059192,11498.532211996193
2024-08-15,12518.037429797027,11695.619697450547
2024-08-16,12557.663890959891,11721.841637575373
2024-08-19,12793.102258717652,11833.919284883108
2024-08-20,12729.019773310289,11814.675764307629
2024-08-21,12827.804905969962,11855.277478049298
2024-08-22,12644.505513303246,11762.231884057974
2024-08-23,12909.320124742177,11887.20903416905
2024-08-26,12825.12663595987,11858.872421453507
2024-08-27,12906.756223653278,11875.155400401989
2024-08-28,12787.553972398111,11806.21707394478
2024-08-29,12649.247705763439,11807.274410240138
2024-08-30,12802.504901527316,11919.986459325082
2024-09-03,12259.000881388643,11674.684438802498
2024-09-04,12246.104225693714,11650.788638527454
2024-09-05,12214.112223280581,11622.452025811914
2024-09-06,11995.176965903698,11426.844811171059
2024-09-09,12224.70502817165,11554.782502909131
2024-09-10,12326.958778896043,11605.111710568075
2024-09-11,12616.439800541808,11724.167777425157
2024-09-12,12747.268325758745,11822.922987411406
2024-09-13,12830.364243690654,11884.671427060193
2024-09-16,12860.924497422719,11902.223209563104
2024-09-17,12859.429455975183,11907.086956521742
2024-09-18,12770.200699225406,11871.771924256851
2024-09-19,13065.427562124061,12074.357558447056
2024-09-20,12984.368676811977,12016.626996720619
2024-09-23,13083.80831048023,12046.655347508728
2024-09-24,13197.543553550116,12081.124510737332
2024-09-25,13239.032014962535,12054.479636094362
2024-09-26,13314.378011211193,12102.271236644452
2024-09-27,13253.541296174883,12084.719454141545
2024-09-30,13262.058156653966,12133.145456468847
2024-10-01,13070.991967490007,12024.451285306253
2024-10-02,13105.112939936178,12029.526499523963
2024-10-03,13146.450875333549,12007.53390458056
2024-10-04,13316.913528350386,12116.651010261294
2024-10-07,13274.24620352072,12007.110970062415
2024-10-08,13474.747486961443,12120.668888183645
2024-10-09,13577.828858360626,12204.62139003491
2024-10-10,13522.557478014996,12183.26319686872
2024-10-11,13640.619417936607,12256.219401248283
2024-10-14,13807.860382508406,12356.45488204803
2024-10-15,13592.143235283906,12260.448746429705
2024-10-16,13733.74426523289,12313.738495715646
2024-10-17,13742.508641187798,12314.795832011005
2024-10-18,13815.378576363782,12362.164498042952
2024-10-21,13890.74650451103,12341.863641172116
2024-10-22,13856.768009476427,12335.30815614091
2024-10-23,13691.526789770345,12222.596107055962
2024-10-24,13498.679282619369,12249.029514439862
2024-10-25,13489.28378967939,12244.800169258437
2024-10-28,13570.63074725437,12282.652808632183
2024-10-29,13571.362542005518,12302.530730984874
2024-10-30,13367.746682771285,12265.312493388343
2024-10-31,13086.483142510342,12024.874219824396
2024-11-01,13095.83421496732,12075.626362001482
2024-11-04,13059.066109805492,12049.615889135725
2024-11-05,13269.316970742899,12195.31683063578
2024-11-06,13731.886498017353,12498.56088014387
2024-11-07,13946.540356796486,12595.201417539407
2024-11-08,14042.174620722786,12649.759970379777
2024-11-11,14049.854786387146,12661.813604146833
2024-11-12,14096.176925790029,12622.480693959591
2024-11-13,14033.399485829952,12628.613244472657
2024-11-14,13935.50618287329,12547.409816989317
2024-11-15,13698.779223755844,12386.69470009521
2024-11-18,13704.284667401265,12437.446842272295
2024-11-19,13788.165632864042,12482.912302972602
2024-11-20,13763.389479211755,12487.141648154027
2024-11-21,13939.152137278217,12554.176769279595
2024-11-22,13914.771010018532,12593.086744948694
2024-11-25,13895.551155374902,12635.803131281076
2024-11-26,13925.739444420324,12701.78091611129
2024-11-27,13835.320984500107,12663.293874960333
2024-11-29,13949.302421895918,12741.959695334815
2024-12-02,13927.358696656776,12764.798159314505
2024-12-03,13936.091092742457,12770.719242568497
2024-12-04,14095.47055947245,12850.019464720195
2024-12-05,13991.217548829634,12828.872738813076
2024-12-06,13948.700220488825,12853.191473606263
2024-12-09,13718.559703889505,12787.00222151698
2024-12-10,13523.354719416977,12747.246376811594
2024-12-11,13655.283707555827,12845.790119538773
2024-12-12,13576.413613074337,12779.60086744949
2024-12-13,13477.822260348656,12777.063260340636
2024-12-16,13408.388400636604,12831.621813181002
2024-12-17,13292.22616390059,12778.754998413204
2024-12-18,12910.592926472344,12397.902464825982
2024-12-19,12917.910204111195,12394.096054162701
2024-12-20,13135.906583577138,12500.887019993654
2024-12-23,13275.462334037584,12575.74642970486
2024-12-24,13376.958582023544,12715.526287950916
2024-12-26,13365.96134993692,12716.372156987201
2024-12-27,13208.093885188211,12582.513381995135
2024-12-30,13088.009953901636,12438.927113085794
2024-12-31,12991.956519062313,12393.67311964456
2025-01-02,13003.303494199108,12363.221834338307
2025-01-03,13234.22768165835,12517.804400719351
2025-01-06,13289.445692288282,12589.914736062627
2025-01-07,13033.1630921953,12447.597270707713
2025-01-08,13026.809732938425,12465.783454987837
2025-01-10,12708.54171010691,12275.46292182376
2025-01-13,12742.946040740526,12294.49497514017
2025-01-14,12833.80124791279,12311.412355865865
2025-01-15,13060.665866332738,12535.356183222259
2025-01-16,13085.755076609516,12511.248915688142
2025-01-17,13215.241933926842,12636.860467576433
2025-01-21,13421.001332953645,12752.533058288374
2025-01-22,13510.750272648049,12824.220459113512
2025-01-23,13579.600509327383,12894.216121866077
2025-01-24,13491.091381743117,12856.574949751404
2025-01-27,12903.512817329556,12674.713106950176
2025-01-28,13118.530112412665,12783.618745371841
2025-01-29,12937.579985718043,12726.311118163547
2025-01-30,13088.9410998708,12794.615042843543
2025-01-31,12908.176016701675,12726.52258542262
2025-02-03,12730.9344067754,12640.878345498784
2025-02-04,12855.648283151157,12725.676716386333
2025-02-05,12946.781411947566,12777.274727599706
2025-02-06,13011.64703704749,12821.682852004657
2025-02-07,12900.343496575322,12704.318523220143
2025-02-10,13044.575731660709,12790.597164921192
2025-02-11,13129.120022933632,12800.324658838465
2025-02-12,13028.20566568967,12759.088543319584
2025-02-13,13185.857759566841,12893.793187347934
2025-02-14,13259.235768581788,12893.15878557072
2025-02-18,13299.75907279444,12931.011424944463
2025-02-19,13297.102160691538,12961.462710250715
2025-02-20,13173.372939152288,12907.53855918756
2025-02-21,12813.118523778501,12686.766740717236
2025-02-24,12660.46354359641,12629.036178990798
2025-02-25,12607.751821687008,12566.230403046653
2025-02-26,12695.114210905509,12572.574420818788
2025-02-27,12370.439770068508,12371.891991960225
2025-02-28,12572.706692319902,12564.961599492226
2025-03-03,12215.745786794589,12344.824182799113
2025-03-04,12135.841137845973,12198.700306780918
2025-03-05,12337.839244849743,12329.810007405056
2025-03-06,12094.177027164253,12110.941394266372
2025-03-07,12261.277189444758,12178.822384428224
2025-03-10,11931.11805450172,11854.431609013014
2025-03-11,11890.729429286772,11755.887866285835
2025-03-12,12026.760510498778,11818.27070771184
2025-03-13,11901.496352377311,11660.727599703798
2025-03-14,12247.22494319228,11901.588807785889
2025-03-17,12301.457805563316,11993.365598222787
2025-03-18,12115.253832723238,11863.736168412146
2025-03-19,12228.002276605725,11992.942663704645
2025-03-20,12241.7024566419,11958.26203321697
2025-03-21,12186.516907527157,11926.330477097219
2025-03-24,12456.890726391313,12139.912408759126
2025-03-25,12470.304697307147,12169.09489051095
2025-03-26,12235.935237469997,12023.81688352904
2025-03-27,12132.704652520995,11991.88532740929
