Fecha,Portafolio_Agresivo,SPY_Benchmark
2024-03-15,11069.18350953153,10781.235269226701
2024-03-18,11089.57531500816,10845.309848725274
2024-03-19,11075.932796160003,10905.578017560565
2024-03-20,11136.672011281655,11006.447900137524
2024-03-21,11127.300691359938,11042.820268697771
2024-03-22,11076.149784996484,11021.885010049722
2024-03-25,11018.814567151705,10991.433724743469
2024-03-26,11046.195659715719,10971.132867872633
2024-03-27,11189.095342036475,11063.332592827674
2024-03-28,11226.235095867967,11061.217920236964
2024-04-01,11165.70662760676,11041.974399661483
2024-04-02,11065.91842124813,10971.767269649848
2024-04-03,11078.113410668728,10983.820903416905
2024-04-04,10860.02150184285,10849.75066116577
2024-04-05,10997.254658464764,10963.097112027928
2024-04-08,11015.34557105833,10969.229662540994
2024-04-09,11022.65186521242,10981.917698085266
2024-04-10,10872.54218841586,10871.954723368244
2024-04-11,10893.05504680119,10954.004019887867
2024-04-12,10749.781412361168,10802.804929651964
2024-04-15,10623.499789667647,10667.465883846398
2024-04-16,10575.651350934588,10648.010896011849
2024-04-17,10414.080690588826,10584.993652808635
2024-04-18,10437.530729815997,10563.2125251243
2024-04-19,10389.412870549502,10471.012800169261
2024-04-22,10481.57949586459,10567.441870305725
2024-04-23,10612.602677960804,10692.841954934942
2024-04-24,10573.228968406911,10687.766740717234
2024-04-25,10592.119978085118,10647.165026975565
2024-04-26,10627.162591923992,10748.034909552523
2024-04-29,10710.847159331652,10786.099016185339
2024-04-30,10557.511626902698,10615.233470855816
2024-05-01,10442.189261467553,10580.76430762721
2024-05-02,10492.695075202553,10679.730984872527
2024-05-03,10602.342960376358,10812.109489051096
2024-05-06,10738.624632123785,10923.764201840688
2024-05-07,10753.217681259228,10935.817835607744
2024-05-08,10768.414806530038,10936.875171903102
2024-05-09,10590.627979834995,10999.892415106317
2024-05-10,10641.86596834031,11014.060721464088
2024-05-13,10650.091574239274,11015.540992277585
2024-05-14,10651.338701973753,11066.0816671956
2024-05-15,10782.60556468425,11203.112451073734
2024-05-16,10768.78755715895,11180.062519834975
2024-05-17,10799.785347219276,11196.134031524387
2024-05-20,10843.093267701797,11209.033534327727
2024-05-21,10828.118182550506,11236.524278006984
2024-05-22,10781.619884627207,11204.169787369092
2024-05-23,10637.10574887714,11122.33195810854
2024-05-24,10692.543816821286,11195.922564265315
2024-05-28,10642.43382142668,11203.746852850947
2024-05-29,10494.61976064892,11125.292499735535
2024-05-30,10541.983719698985,11051.490426319688
2024-05-31,10651.52698348955,11152.148841637576
2024-06-03,10548.660179166858,11161.241933777637
2024-06-04,10552.04715244266,11173.718502062839
2024-06-05,10681.972783363004,11306.519940759548
2024-06-06,10672.421080890756,11306.308473500476
2024-06-07,10718.741636632525,11292.56310166085
2024-06-10,10671.393518520437,11327.455199407596
2024-06-11,10642.870800717668,11354.734475827781
2024-06-12,10668.69310152685,11447.991537078178
2024-06-13,10668.870302856829,11471.041468316938
2024-06-14,10605.792478059406,11478.019887866287
2024-06-17,10685.294852072635,11569.373743785043
2024-06-18,10718.29061149371,11598.76769279594
2024-06-20,10813.248042417483,11567.259071194332
2024-06-21,10814.106817953892,11514.603723685605
2024-06-24,10822.67120795714,11477.174018830003
2024-06-25,10782.137972097013,11521.370675975882
2024-06-26,10656.182222780986,11535.750449592722
2024-06-27,10687.325699765175,11553.936633872847
2024-06-28,10730.085781254136,11508.47117317254
2024-07-01,10653.73981668061,11532.155506188514
2024-07-02,10744.770037720778,11609.763990267642
2024-07-03,10762.91540772096,11661.573468740085
2024-07-05,10805.420358555817,11728.820057124723
2024-07-08,10888.25999542613,11742.35396170528
2024-07-09,10842.495513886977,11753.773193695126
2024-07-10,10985.931018684183,11870.080186184283
2024-07-11,11031.82282968925,11767.730032793825
2024-07-12,11121.63781859882,11841.955040727813
2024-07-15,11223.076234753587,11874.520998624776
2024-07-16,11384.612460567972,11944.939595895485
2024-07-17,11216.756744637714,11777.4575267111
2024-07-18,11194.108858033249,11686.949539828627
2024-07-19,11055.18611053606,11609.341055749499
2024-07-22,11200.956149092448,11729.031524383794
2024-07-23,11177.67358005685,11710.6338728446
2024-07-24,10936.143420156068,11445.242462710252
2024-07-25,10844.966781904834,11385.608695652174
2024-07-26,10956.413464532652,11513.123452872107
2024-07-29,10956.096313581045,11519.890405162383
2024-07-30,10878.501904731676,11461.525441658734
2024-07-31,11018.08405413216,11647.828096900455
2024-08-01,10888.318681539376,11482.883634824924
2024-08-02,10705.8599333487,11269.090235903946
2024-08-05,10469.927194438707,10940.893049825454
2024-08-06,10524.854514750692,11041.762932402413
2024-08-07,10434.003245887907,10967.960858986566
2024-08-08,10602.0929875754,11221.510102612929
2024-08-09,10621.431465096593,11270.993441235589
2024-08-12,10597.540158704627,11276.91452448958
2024-08-13,10776.673134994851,11462.371310695018
2024-08-14,10848.251983573366,11498.532211996193
2024-08-15,10980.570849675354,11695.619697450547
2024-08-16,11000.068126570226,11721.841637575373
2024-08-19,11111.763803063683,11833.919284883108
2024-08-20,11103.65589042487,11814.675764307629
2024-08-21,11177.975252317266,11855.277478049298
2024-08-22,11092.226284274613,11762.231884057974
2024-08-23,11243.263940943907,11887.20903416905
2024-08-26,11210.125485882305,11858.872421453507
2024-08-27,11252.811051614884,11875.155400401989
2024-08-28,11192.747384862461,11806.21707394478
2024-08-29,11218.704686855686,11807.274410240138
2024-08-30,11330.379583914164,11919.986459325082
2024-09-03,11051.738380938457,11674.684438802498
2024-09-04,11091.14909590557,11650.788638527454
2024-09-05,11019.37897958632,11622.452025811914
2024-09-06,10858.596441526974,11426.844811171059
2024-09-09,11026.63564427185,11554.782502909131
2024-09-10,11096.156602354775,11605.111710568075
2024-09-11,11172.084689918493,11724.167777425157
2024-09-12,11246.346447813221,11822.922987411406
2024-09-13,11325.863584554665,11884.671427060193
2024-09-16,11397.119922129432,11902.223209563104
2024-09-17,11404.249649513622,11907.086956521742
2024-09-18,11333.437361750302,11871.771924256851
2024-09-19,11518.769609015288,12074.357558447056
2024-09-20,11486.281511133036,12016.626996720619
2024-09-23,11573.08161482202,12046.655347508728
2024-09-24,11598.849208138325,12081.124510737332
2024-09-25,11584.795449018442,12054.479636094362
2024-09-26,11657.03551893443,12102.271236644452
2024-09-27,11632.99681246652,12084.719454141545
2024-09-30,11656.098911000925,12133.145456468847
2024-10-01,11622.36695188321,12024.451285306253
2024-10-02,11597.031537240895,12029.526499523963
2024-10-03,11549.6310188127,12007.53390458056
2024-10-04,11669.337660891073,12116.651010261294
2024-10-07,11554.095880554503,12007.110970062415
2024-10-08,11656.002188106364,12120.668888183645
2024-10-09,11764.710312864227,12204.62139003491
2024-10-10,11686.668459266655,12183.26319686872
2024-10-11,11789.985021985212,12256.219401248283
2024-10-14,11909.406017294787,12356.45488204803
2024-10-15,11837.883179645212,12260.448746429705
2024-10-16,11909.935348266674,12313.738495715646
2024-10-17,11886.772278618719,12314.795832011005
2024-10-18,11933.586980244974,12362.164498042952
2024-10-21,11885.894561396617,12341.863641172116
2024-10-22,11876.904416951014,12335.30815614091
2024-10-23,11788.559023234755,12222.596107055962
2024-10-24,11708.245042554787,12249.029514439862
2024-10-25,11648.290967769879,12244.800169258437
2024-10-28,11720.864560299313,12282.652808632183
2024-10-29,11740.396943458254,12302.530730984874
2024-10-30,11587.036489328582,12265.312493388343
2024-10-31,11417.765954287654,12024.874219824396
2024-11-01,11377.695365707548,12075.626362001482
2024-11-04,11333.64394286732,12049.615889135725
2024-11-05,11453.107195147903,12195.31683063578
2024-11-06,11879.925498820136,12498.56088014387
2024-11-07,12022.63718619436,12595.201417539407
2024-11-08,12139.661908242677,12649.759970379777
2024-11-11,12208.300994720612,12661.813604146833
2024-11-12,12195.649311919666,12622.480693959591
2024-11-13,12144.729035826216,12628.613244472657
2024-11-14,12046.847433619027,12547.409816989317
2024-11-15,11876.849887629725,12386.69470009521
2024-11-18,11923.655365237528,12437.446842272295
2024-11-19,11856.593974820844,12482.912302972602
2024-11-20,11862.689509050688,12487.141648154027
2024-11-21,12023.391461052332,12554.176769279595
2024-11-22,12088.749302941642,12593.086744948694
2024-11-25,12172.397848977636,12635.803131281076
2024-11-26,12230.593792245618,12701.78091611129
2024-11-27,12165.991873975854,12663.293874960333
2024-11-29,12223.060725715626,12741.959695334815
2024-12-02,12207.819125491766,12764.798159314505
2024-12-03,12187.16067183481,12770.719242568497
2024-12-04,12253.067950110442,12850.019464720195
2024-12-05,12158.125118067894,12828.872738813076
2024-12-06,12183.100974904475,12853.191473606263
2024-12-09,12012.219772214301,12787.00222151698
2024-12-10,11908.940451302922,12747.246376811594
2024-12-11,11937.604730938525,12845.790119538773
2024-12-12,11894.724047197158,12779.60086744949
