Fecha,Portafolio_Conservador,SPY_Benchmark
2024-05-14,10105.59891601008,11066.0816671956
2024-05-15,10289.957838994822,11203.112451073734
2024-05-16,10173.00865084616,11180.062519834975
2024-05-17,10146.179416738789,11196.134031524387
2024-05-20,10220.312407783034,11209.033534327727
2024-05-21,10192.3970566908,11236.524278006984
2024-05-22,10160.196561232337,11204.169787369092
2024-05-23,10109.690622180718,11122.33195810854
2024-05-24,10118.29140947083,11195.922564265315
2024-05-28,10077.18399621799,11203.746852850947
2024-05-29,9979.706732765402,11125.292499735535
2024-05-30,9982.81190278924,11051.490426319688
2024-05-31,9986.79150430497,11152.148841637576
2024-06-03,9920.388426766798,11161.241933777637
2024-06-04,9936.455949614223,11173.718502062839
2024-06-05,10095.611905647931,11306.519940759548
2024-06-06,10061.454762654676,11306.308473500476
2024-06-07,10044.45624366209,11292.56310166085
2024-06-10,10081.250562378696,11327.455199407596
2024-06-11,10113.044265095166,11354.734475827781
2024-06-12,10221.621347407548,11447.991537078178
2024-06-13,10416.148415054935,11471.041468316938
2024-06-14,10476.095072699198,11478.019887866287
2024-06-17,10588.259037281427,11569.373743785043
2024-06-18,10636.345932086351,11598.76769279594
2024-06-20,10555.906601722225,11567.259071194332
2024-06-21,10491.26760235387,11514.603723685605
2024-06-24,10390.961610473247,11477.174018830003
2024-06-25,10377.618717485506,11521.370675975882
2024-06-26,10335.61445725928,11535.750449592722
2024-06-27,10330.938199852186,11553.936633872847
2024-06-28,10380.567960511315,11508.47117317254
2024-07-01,10360.141176401781,11532.155506188514
2024-07-02,10422.850927780531,11609.763990267642
2024-07-03,10546.623674307264,11661.573468740085
2024-07-05,10526.63229495933,11728.820057124723
2024-07-08,10568.93210479694,11742.35396170528
2024-07-09,10507.42048620796,11753.773193695126
2024-07-10,10577.420584620177,11870.080186184283
2024-07-11,10610.653789999204,11767.730032793825
2024-07-12,10668.557946068027,11841.955040727813
2024-07-15,10742.855001776723,11874.520998624776
2024-07-16,10835.326793230943,11944.939595895485
2024-07-17,10571.623323484904,11777.4575267111
2024-07-18,10591.345190412208,11686.949539828627
2024-07-19,10500.642933754112,11609.341055749499
2024-07-22,10615.626292047531,11729.031524383794
2024-07-23,10618.253541865322,11710.6338728446
2024-07-24,10337.973320228935,11445.242462710252
2024-07-25,10381.27682702662,11385.608695652174
2024-07-26,10441.270764307212,11513.123452872107
2024-07-29,10418.075144961636,11519.890405162383
2024-07-30,10329.82693908901,11461.525441658734
2024-07-31,10644.076344775342,11647.828096900455
2024-08-01,10397.892074154292,11482.883634824924
2024-08-02,10265.631358167411,11269.090235903946
2024-08-05,10204.39103812608,10940.893049825454
2024-08-06,10282.879423062313,11041.762932402413
2024-08-07,10112.239735138419,10967.960858986566
2024-08-08,10268.815895755952,11221.510102612929
2024-08-09,10342.880412839326,11270.993441235589
2024-08-12,10312.800444385206,11276.91452448958
2024-08-13,10492.931871592966,11462.371310695018
2024-08-14,10530.187909698663,11498.532211996193
2024-08-15,10665.765486446937,11695.619697450547
2024-08-16,10668.595430572317,11721.841637575373
2024-08-19,10714.686302113996,11833.919284883108
2024-08-20,10695.854253940754,11814.675764307629
2024-08-21,10740.410777248979,11855.277478049298
2024-08-22,10613.350952705729,11762.231884057974
