Fecha,Portafolio_Moderado,SPY_Benchmark
2024-08-02,10195.374387386522,11269.090235903946
2024-08-05,9996.240125787113,10940.893049825454
2024-08-06,10039.702205354677,11041.762932402413
2024-08-07,9958.274476318695,10967.960858986566
2024-08-08,10037.75837903113,11221.510102612929
2024-08-09,10067.534010932297,11270.993441235589
2024-08-12,10021.296661175533,11276.91452448958
2024-08-13,10143.072304886824,11462.371310695018
2024-08-14,10224.754397000199,11498.532211996193
2024-08-15,10293.858212184225,11695.619697450547
2024-08-16,10309.896296177594,11721.841637575373
2024-08-19,10353.14997032531,11833.919284883108
2024-08-20,10345.585201514177,11814.675764307629
2024-08-21,10386.40008688447,11855.277478049298
2024-08-22,10334.298847237857,11762.231884057974
2024-08-23,10454.844865218865,11887.20903416905
2024-08-26,10464.331209549353,11858.872421453507
2024-08-27,10486.878380755454,11875.155400401989
2024-08-28,10456.859139713877,11806.21707394478
2024-08-29,10487.037360070386,11807.274410240138
2024-08-30,10523.826120672633,11919.986459325082
2024-09-03,10369.768946938191,11674.684438802498
2024-09-04,10394.961264642272,11650.788638527454
2024-09-05,10344.324766221353,11622.452025811914
2024-09-06,10248.539284745566,11426.844811171059
2024-09-09,10381.614823988375,11554.782502909131
2024-09-10,10416.158488206023,11605.111710568075
2024-09-11,10450.941227703921,11724.167777425157
2024-09-12,10486.156739983828,11822.922987411406
2024-09-13,10557.298558824,11884.671427060193
2024-09-16,10623.016688490618,11902.223209563104
2024-09-17,10652.178134138601,11907.086956521742
2024-09-18,10630.972151814995,11871.771924256851
2024-09-19,10729.930021877168,12074.357558447056
2024-09-20,10689.954540545554,12016.626996720619
2024-09-23,10753.42242467461,12046.655347508728
2024-09-24,10782.515580614398,12081.124510737332
2024-09-25,10710.268432646735,12054.479636094362
2024-09-26,10725.317247962907,12102.271236644452
2024-09-27,10745.973469092565,12084.719454141545
2024-09-30,10740.880381516152,12133.145456468847
2024-10-01,10704.479452813752,12024.451285306253
2024-10-02,10673.74612127571,12029.526499523963
2024-10-03,10618.408437560996,12007.53390458056
2024-10-04,10660.989645562611,12116.651010261294
2024-10-07,10545.779397438862,12007.110970062415
2024-10-08,10587.617174239289,12120.668888183645
2024-10-09,10682.417255195485,12204.62139003491
2024-10-10,10662.674073624145,12183.26319686872
2024-10-11,10735.187244418965,12256.219401248283
2024-10-14,10831.435170184815,12356.45488204803
2024-10-15,10833.05778617057,12260.448746429705
2024-10-16,10893.29046791419,12313.738495715646
2024-10-17,10875.214360805381,12314.795832011005
2024-10-18,10908.13350331508,12362.164498042952
2024-10-21,10850.532297651709,12341.863641172116
2024-10-22,10867.870471479766,12335.30815614091
2024-10-23,10777.726331461965,12222.596107055962
2024-10-24,10709.770238342084,12249.029514439862
2024-10-25,10646.859941540637,12244.800169258437
2024-10-28,10682.766455016395,12282.652808632183
2024-10-29,10659.44910381269,12302.530730984874
2024-10-30,10669.055933665435,12265.312493388343
