Fecha,Portafolio_Normal,SPY_Benchmark
2024-04-10,11570.424799145258,10871.954723368244
2024-04-11,11724.771393432493,10954.004019887867
2024-04-12,11536.923215630257,10802.804929651964
2024-04-15,11362.659105999599,10667.465883846398
2024-04-16,11362.665774873574,10648.010896011849
2024-04-17,11111.614250997378,10584.993652808635
2024-04-18,11112.170744954848,10563.2125251243
2024-04-19,10836.16549057918,10471.012800169261
2024-04-22,10986.76589076949,10567.441870305725
2024-04-23,11147.228799747714,10692.841954934942
2024-04-24,11024.305383186658,10687.766740717234
2024-04-25,11156.168308198736,10647.165026975565
2024-04-26,11348.853829448322,10748.034909552523
2024-04-29,11412.833956402328,10786.099016185339
2024-04-30,11206.137794048112,10615.233470855816
2024-05-01,10969.69609850621,10580.76430762721
2024-05-02,11059.261885711025,10679.730984872527
2024-05-03,11241.384276963207,10812.109489051096
2024-05-06,11448.036157044005,10923.764201840688
2024-05-07,11385.095337123279,10935.817835607744
2024-05-08,11413.108513207484,10936.875171903102
2024-05-09,11176.73565112787,10999.892415106317
2024-05-10,11265.854696839622,11014.060721464088
2024-05-13,11267.511968909572,11015.540992277585
2024-05-14,11320.829793716866,11066.0816671956
2024-05-15,11570.869829222305,11203.112451073734
2024-05-16,11512.905177584762,11180.062519834975
2024-05-17,11471.546146077642,11196.134031524387
2024-05-20,11584.813927020366,11209.033534327727
2024-05-21,11550.951015769313,11236.524278006984
2024-05-22,11505.294956567863,11204.169787369092
2024-05-23,11584.418582310489,11122.33195810854
2024-05-24,11694.13557777947,11195.922564265315
2024-05-28,11860.160151117623,11203.746852850947
2024-05-29,11738.806567596253,11125.292499735535
2024-05-30,11678.456722567815,11051.490426319688
2024-05-31,11677.651942903276,11152.148841637576
2024-06-03,11674.116803066221,11161.241933777637
2024-06-04,11698.17079308919,11173.718502062839
2024-06-05,12010.088164083681,11306.519940759548
2024-06-06,11948.684164003434,11306.308473500476
2024-06-07,11980.942549293737,11292.56310166085
2024-06-10,11983.516825452854,11327.455199407596
2024-06-11,11950.12192294445,11354.734475827781
2024-06-12,12120.106787970359,11447.991537078178
2024-06-13,12370.454871584769,11471.041468316938
2024-06-14,12438.16855241015,11478.019887866287
2024-06-17,12551.326445856961,11569.373743785043
2024-06-18,12665.230592741389,11598.76769279594
2024-06-20,12574.559460377735,11567.259071194332
2024-06-21,12414.59193752312,11514.603723685605
2024-06-24,12156.532194084879,11477.174018830003
2024-06-25,12294.48712881389,11521.370675975882
2024-06-26,12233.010584481928,11535.750449592722
2024-06-27,12203.172899431545,11553.936633872847
2024-06-28,12266.523109718173,11508.47117317254
2024-07-01,12251.725156602515,11532.155506188514
2024-07-02,12320.752721833884,11609.763990267642
2024-07-03,12519.437135445194,11661.573468740085
2024-07-05,12485.348996020624,11728.820057124723
2024-07-08,12625.77317214506,11742.35396170528
2024-07-09,12616.978741678684,11753.773193695126
2024-07-10,12827.198871703886,11870.080186184283
2024-07-11,12686.606900372353,11767.730032793825
2024-07-12,12779.84960153093,11841.955040727813
2024-07-15,12852.253375869384,11874.520998624776
2024-07-16,12883.035952225364,11944.939595895485
2024-07-17,12367.254457927265,11777.4575267111
2024-07-18,12460.565459635316,11686.949539828627
2024-07-19,12260.211426362546,11609.341055749499
2024-07-22,12527.18854045164,11729.031524383794
2024-07-23,12489.020818977113,11710.6338728446
2024-07-24,11977.601401025324,11445.242462710252
2024-07-25,11821.304215181452,11385.608695652174
2024-07-26,11918.917802553384,11513.123452872107
2024-07-29,11855.318282579314,11519.890405162383
2024-07-30,11635.275529425346,11461.525441658734
