ticker,return_annualized,volatility_annual,sharpe_ratio,sortino_ratio,max_drawdown,var_95,cvar_95,beta,skewness,kurtosis,cluster_kmeans,cluster_agglomerative,cluster_hierarchical,is_outlier_dbscan
EA,-0.0065333365977156,0.2398919846064629,-0.1153151581959026,-0.1096097741348338,-0.2670336309324025,-0.0245963688727438,-0.0355623669081102,0.5844697399560211,-0.4497653525077163,4.277807542841167,3,3,2,False
ECL,-0.0256227242306661,0.261427276167567,-0.1596895410824396,-0.1576670987940359,-0.4426528620528705,-0.0258666610354211,-0.0376042478343196,1.0518121817833208,-0.0857943654301832,3.482322597627064,3,1,3,False
ED,0.0884326413826817,0.1919481607420967,0.276630455384763,0.2714789702458051,-0.2202708006279435,-0.0201429531869894,-0.0269970397938314,0.357174778161345,-0.170495869215269,0.9037637606681505,3,1,3,False
EEM,-0.08262650507542,0.1948687923639943,-0.6015723104876162,-0.6080660050600043,-0.4145962732919255,-0.0198057625848357,-0.0263378440089798,0.7386186933663265,0.3294669300236383,2.653787845710142,0,3,2,False
EFA,0.0091096935959853,0.1713018668360051,-0.1534940434251374,-0.1518431475413678,-0.3237550225252648,-0.0166759692633555,-0.023924587300091,0.8040671304308179,0.0914039008094038,2.0516348081119022,3,3,2,False
EFX,0.0963768716369755,0.3261425494485994,0.2903832987862234,0.2915160846742339,-0.4942265611849857,-0.0321632578551714,-0.0445271278895967,1.1727233363541674,0.57893429322713,6.641181568523528,2,0,0,False
EIX,0.0576382731773936,0.2339706306852919,0.1425207414147926,0.1417025351398875,-0.2448109965635739,-0.0233136505827706,-0.032310689076824,0.6252714459669125,-0.0425539277301402,1.8601784727796635,3,1,3,False
EL,-0.1701006484359722,0.3713706287835403,-0.4466770538711605,-0.4181880567176737,-0.7189533695476793,-0.0352121545920594,-0.0555888761307258,1.2796376767050148,-1.0889514858456328,10.35685621777417,2,0,0,False
EMN,-0.0307304368009014,0.3068756907226856,-0.1104687910014799,-0.1068189407924194,-0.4691225101899561,-0.0303898686349192,-0.0437833788295788,1.126408037431368,-0.3576988323325482,2.603185126525833,2,1,3,False
EMR,0.0770371779942218,0.2413459006302732,0.2209525308487871,0.2200739756140249,-0.3087984862819299,-0.023762846765728,-0.0349086743037752,0.9198370505166844,-0.2628225793564212,2.0702821300767096,3,1,3,False
ENPH,-0.0850536704866016,0.6723307535699865,0.1300626417671551,0.1325445594125368,-0.7751190476190476,-0.0642297585967816,-0.092836147318951,1.735319575021022,0.1197205088337198,4.353829112505142,2,0,0,False
EOG,0.346107316889221,0.4050973377574279,0.81219211833606,0.8558001386385872,-0.348180634550812,-0.0377206772535878,-0.0544039071372535,0.7716837558572742,0.0244045382036673,1.19574106759566,1,2,1,False
EPAM,-0.0514539573567685,0.5855648030876911,0.142878825773431,0.1326054931602758,-0.7563729111207126,-0.0468456054090741,-0.0798812460399359,1.6052766205625169,-2.062773439669812,36.69950242603163,-1,-1,-1,True
EQIX,0.051925640151033,0.2875301908261963,0.1453554897353549,0.1470468282235962,-0.4275341798534259,-0.0297325538879538,-0.0379731608331772,0.8982986879292335,0.1733491851738821,2.032198287437296,3,1,3,False
EQR,0.0209126422123338,0.2339930989417807,-0.0084837238517249,-0.0083567945923726,-0.4295366795366795,-0.024130623721086,-0.0316880160125853,0.7727519492741896,0.0365859735882696,0.9679737292398856,3,1,3,False
ES,-0.1000384592004097,0.2285550952836336,-0.5650475458418319,-0.5424838272184501,-0.4416773094934014,-0.0252025414959794,-0.0334087227848426,0.5152362776929693,-0.1626492511904543,1.8609050342964812,0,3,2,False
ESS,0.0281414093058498,0.2492807484451512,0.0352209609996537,0.0348233745604042,-0.4540369040661268,-0.0248112748905091,-0.0336069767869649,0.7930266454183424,-0.0461925453812737,0.9162560661528528,3,1,3,False
ETN,0.2676150803922286,0.2557513135816775,0.8591325290743028,0.8644238971362922,-0.2840948127791136,-0.025887092956037,-0.0356661495466857,0.9638342523543068,-0.1150414726698055,1.4424610112786342,1,2,1,False
ETR,0.0107659109242446,0.2213258423958634,-0.0666797735175209,-0.0627459489902091,-0.2937062937062937,-0.0230739122849822,-0.0331353632069786,0.5201599027089173,-0.3411454932318196,1.214702429490247,3,3,2,False
ETSY,-0.2231593061053625,0.6175587199523618,-0.1810114014414383,-0.1867331775852321,-0.7956956653531373,-0.0596766328956123,-0.0838119910482468,1.8910132244523632,0.1458542000451719,1.8632175725339968,-1,-1,-1,True
EW,-0.0502509563216415,0.312379820497432,-0.1657531913353616,-0.1517371896276241,-0.5277777777777778,-0.0300148134102028,-0.0487028103019524,0.9891252738551828,-1.3641196679281182,10.114676312726544,2,1,3,False
EWG,-0.026446820299389,0.2191395571952081,-0.2410942557283855,-0.2334339703580229,-0.4646381578947368,-0.0213025244069688,-0.0318208034372312,0.9324898007990886,0.217956975689941,3.4417662357606083,0,1,3,False
EWJ,-0.0133382666428986,0.168771320554642,-0.291495517636047,-0.290092778890779,-0.3464651915812197,-0.0163237220250184,-0.0225298018198621,0.6915192027969304,0.0583098779286154,1.0498713118990168,0,3,2,False
EWU,0.0367300629077613,0.1793099120000192,0.0118341904082643,0.0112900630329449,-0.2623705408515534,-0.018972395357137,-0.0266331267757767,0.7135998198884284,-0.192238820052384,2.237601935751305,3,3,2,False
