ticker,return_total,return_annualized,return_mean_daily,volatility_annual,downside_dev_annual,max_drawdown,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,beta,alpha_annual,r_squared,correlation_spy,skewness,kurtosis,positive_return_ratio,gain_loss_ratio,vol_of_vol,momentum_6m,segmento,segmento_nombre,pca_1,pca_2
SOXX,9.33530678148547,0.1968747341366119,0.0008750767494369,0.2849978156245663,0.2040874827987183,-0.4624480319637168,-0.0281291855394634,-0.0410290800372017,0.5983180624890407,0.8355208194040711,0.4768521555204739,1.3493702515824286,0.0793718094773018,0.675286690644497,0.8217582921057122,-0.1554727579107146,4.538915127623377,0.5366524129505192,0.9660086305151758,0.007711188815904,0.1256814584676711,0,Conservador,-0.7321581844037863,1.7542339164313094
SPG,0.5249091297840494,0.0329992200479118,0.0003535982920028,0.3355105462452405,0.2732352011215209,-0.8066344463971881,-0.0271370570727104,-0.046826695075228,0.1165589875560513,0.1431249320153676,0.1104673498419464,1.0751360684100917,-0.03351673639454,0.3093310397564789,0.5561753678081033,0.1387179887830114,35.694814325586435,0.5271838729383018,0.9440171952199594,0.013808130416476,0.2187286397812711,2,Moderado,-0.5839491925091367,-1.4940435100108778
SPGI,11.14892443463872,0.2117861570441337,0.0008955249469796,0.2580438094025373,0.199941765080638,-0.4015909138359396,-0.0221306388619066,-0.0372564005393943,0.6807847359159918,0.8786172642219744,0.5619456986296655,1.0665410142991056,0.1037619715060328,0.5144534025472478,0.7172540711262975,-0.3614511205378226,11.07486422047015,0.536793893129771,1.004100711448557,0.0078520863241513,0.1098458127582382,0,Conservador,0.04472160160278356,2.254726509218993
SRE,1.8632183908045976,0.0843097988753671,0.0004184966735221,0.2207253065459523,0.1718634971806852,-0.4500434404865334,-0.0195579211263773,-0.0317702633766652,0.2512677979497649,0.3227047199515573,0.2343355157306064,0.7093187228611911,0.0075479589019305,0.3110910950931827,0.5577554079461559,-0.3436763784338094,22.02446535640413,0.5256566890653634,0.9648440028849732,0.0072137887520989,0.0294806447169031,1,Alto Rendimiento,1.5024179036144556,0.3587260754087447
STE,4.937078044828517,0.1468473007722666,0.0006683523473238,0.25011766274933,0.1855412644135623,-0.3645421477146923,-0.023897094358744,-0.0369490913642843,0.4734763239983313,0.638266597459658,0.4620173348444312,0.9318849547378792,0.0550925803051316,0.4180474459755838,0.6465658868016343,-0.1389626431787899,6.278517065079198,0.5261068702290076,1.0055145523479474,0.0065388732081569,0.0032399379392169,0,Conservador,0.5479644936956585,1.374049755322573
STT,0.6421454314182742,0.0389034390873688,0.0003534483336748,0.3187277600757185,0.2404553633529381,-0.6166267411942152,-0.0306283637491649,-0.047574779820613,0.1225779018331323,0.1624791376714292,0.1444455359064651,1.3035347142971507,-0.0489824432634835,0.5038652545936545,0.7098346670835783,0.0140023211863187,11.193422925607935,0.5158827122785583,0.9763580895738504,0.0091894559803756,0.0419693301049231,2,Moderado,-0.5213098759181537,-1.0082184628426867
STZ,9.792410714285715,0.2008670178177796,0.0008923933083247,0.2927831176860444,0.2058223696028885,-0.5489710528562889,-0.0221397648588836,-0.0373995826679377,0.5973128337453361,0.8496798187449838,0.4096447572741434,0.8485178515541155,0.1175672603129072,0.2530107041829345,0.503001694015969,2.8999644452768734,69.37695007124337,0.518937080024435,1.0764471045006083,0.0100734059130888,-0.0231139127975108,0,Conservador,-0.37377794092637,1.679848575456669
SWKS,2.910260869565217,0.1106269221469904,0.0007528759250782,0.4116795719826049,0.2892004780412695,-0.6203353163872364,-0.0402925765681119,-0.0586930394772418,0.3394016672889816,0.4831414320821815,0.3058422245321226,1.5165852373646,0.0372821304669277,0.40881234689548,0.6393843498987757,0.095606645489287,5.718768875424098,0.5229077580940745,0.984223959574037,0.00989494472733,0.0064458370635631,2,Moderado,-2.3794190493368785,-0.4682345912693157
SYK,4.544528790964636,0.14087438391986,0.0006433758307421,0.2458334486241668,0.1881395173064794,-0.4380275433140826,-0.0226394071587695,-0.0361550217167656,0.4561247054645311,0.5959976455364614,0.3701381609940772,1.0105931974024118,0.0438669581153447,0.5090726721203318,0.7134932880695738,-0.0761438661209848,10.900220202054,0.533292608430055,0.9819720386213492,0.0075688285228075,0.0048993288590604,0,Conservador,0.4909118752489766,1.2001985285709025
SYY,1.5165175498967651,0.0735942588391762,0.0004273376560901,0.2705994478035466,0.2177144992947245,-0.635897435897436,-0.0198246636306928,-0.0384163045789578,0.2131899743439599,0.2649758721702451,0.1693497775828381,0.8631276887835065,-0.0006136322546728,0.306482213594026,0.5536083575904776,0.312555469002778,32.44415411418609,0.5158827122785583,1.0017711127677718,0.0107108212539043,-0.0288180610889774,1,Alto Rendimiento,0.6207317606893147,-0.31972539957753937
